Malaysia,Singapore,New Case in My,New Case in Sg
203,200,203,200
238,212,35,12
428,226,190,14
553,243,125,17
673,266,120,23
790,313,117,47
900,345,110,32
1030,385,130,40
1183,432,153,47
1306,455,123,23
1518,509,212,54
1624,558,106,49
1796,631,172,73
2031,683,235,52
2161,732,130,49
2320,802,159,70
2470,844,150,42
2626,879,156,35
2766,926,140,47
2908,1000,142,74
3116,1049,208,49
3333,1114,217,65
3483,1189,150,75
3662,1309,179,120
3793,1375,131,66
3963,1481,170,106
4119,1623,156,142
4228,1910,109,287
4346,2108,118,198
4530,2299,184,191
4683,2532,153,233
4817,2918,134,386
4987,3252,170,334
5072,3699,85,447
5182,4427,110,728
5251,5050,69,623
5305,5992,54,942
5389,6588,84,596
5425,8014,36,1426
5482,9125,57,1111
5532,10141,50,1016
5603,11178,71,1037
5691,12075,88,897
5742,12693,51,618
5780,13624,38,931
5820,14423,40,799
5851,14951,31,528
5945,15641,94,690
6002,16169,57,528
6071,17101,69,932
6176,17548,105,447
6298,18205,122,657
6353,18778,55,573
6383,19410,30,632
6428,20198,45,788
6467,20939,39,741
6535,21707,68,768
6589,22460,54,753
6656,23336,67,876
6726,23822,70,486
6742,24671,16,849
6779,25346,37,675
6819,26098,40,752
6855,26891,36,793
6872,27356,17,465
6894,28038,22,682
6941,28343,47,305
6978,28794,37,451
7009,29364,31,570
7059,29812,50,448
7137,30426,78,614
7185,31068,48,642
7245,31616,60,548
7417,31960,172,344
7604,32343,187,383
7619,32876,15,533
7629,33249,10,373
7732,33860,103,611
7762,34366,30,506
7819,34884,57,518
7857,35292,38,408
7877,35836,20,544
7970,36405,93,569
8247,36922,277,517
8266,37183,19,261
8322,37527,56,344
8329,38296,7,769
8336,38514,7,218
8338,38965,2,451
8369,39387,31,422
8402,39850,33,463
8445,40197,43,347
8453,40604,8,407
8494,40818,41,214
8505,40969,11,151
8515,41216,10,247
8529,41473,14,257
8535,41615,6,142
8556,41833,21,218
8572,42095,16,262
8587,42313,15,218
8590,42432,3,119
8596,42623,6,191
8600,42736,4,113
8606,42955,6,219
8616,43246,10,291
8634,43459,18,213
8637,43661,3,202
8639,43907,2,246
8640,44122,1,215
8643,44310,3,188
8648,44479,5,169
8658,44664,10,185
8663,44800,5,136
8668,44983,5,183
8674,45140,6,157
8677,45298,3,158
8683,45423,6,125
8696,45614,13,191
8725,46283,29,669
8729,46630,4,347
8734,46878,5,248
8737,47126,3,248
8755,47453,18,327
8764,47655,9,202
8779,47912,15,257
8800,48035,21,123
8815,48434,15,399
8831,48744,16,310
8840,49098,9,354
8861,49375,21,277
8897,50369,36,994
8904,50838,7,469
8943,51197,39,359
8956,51531,13,334
8964,51809,8,278
8976,52205,12,396
8985,52512,9,307
8999,52825,14,313
9001,53051,2,226
9023,54254,22,1203
9038,54555,15,301
9063,54797,25,242
9070,54929,7,132
9094,55292,24,363
9103,55353,9,61
9114,55395,11,42
9129,55497,15,102
9149,55580,20,83
9175,55661,26,81
9200,55747,25,86
9212,55838,12,91
9219,55938,7,100
9235,56031,16,93
9240,56099,5,68
9249,56216,9,117
9257,56266,8,50
9267,56353,10,87
9274,56404,7,51
9291,56495,17,91
9296,56572,5,77
9306,56666,10,94
9317,56717,11,51
9334,56771,17,54
9340,56812,6,41
9354,56852,14,40
9360,56901,6,49
9374,56908,14,7
9385,56948,11,40
9391,56982,6,34
9397,57022,6,40
9459,57044,62,22
9559,57091,100,47
9583,57166,24,75
9628,57229,45,63
9810,57316,182,87
9868,57357,58,41
9915,57406,47,49
9946,57454,31,48
9969,57488,23,34
10031,57514,62,26
10147,57543,116,29
10167,57558,20,15
10219,57576,52,18
10276,57607,57,31
10358,57627,82,20
10505,57639,147,12
10576,57654,71,15
10687,57665,111,11
10769,57685,82,20
10919,57700,150,15
11034,57715,115,15
11135,57742,101,27
11224,57765,89,23
11484,57786,260,21
11771,57794,287,8
12088,57800,317,6
12381,57812,293,12
12813,57819,432,7
13993,57840,1180,21
14368,57849,375,9
14722,57859,354,10
15096,57866,374,7
15657,57876,561,10
16220,57880,563,4
16880,57884,660,4
17540,57889,660,5
18129,57892,589,3
18758,57901,629,9
20498,57911,1740,10
21363,57915,865,4
22225,57921,862,6
22957,57933,732,12
23804,57941,847,8
24514,57951,710,10
25742,57965,1228,14
26565,57970,823,5
27805,57973,1240,3
28640,57980,835,7
30090,57994,1450,14
30889,58003,799,9
32505,58019,1616,16
33339,58020,834,1
35425,58036,2086,16
38189,58047,2764,11
39357,58054,1168,7
41181,58064,1824,10
42050,58073,869,9
43791,58102,1741,29
45095,58114,1304,12
46209,58116,1114,2
48520,58124,2311,8
49730,58130,1210,6
50390,58135,660,5
51680,58139,1290,4
52638,58143,958,4
53679,58148,1041,5
56659,58165,2980,17
58847,58183,2188,18
59817,58190,970,7
63176,58205,3359,15
64485,58213,1309,8
65697,58218,1212,5
67169,58228,1472,10
69095,58239,1926,11
71359,58255,2264,16
74294,58273,2935,18
78499,58297,4205,24
82246,58313,3747,16
83475,58320,1229,7
86618,58341,3143,21
89133,58377,2515,36
90816,58386,1683,9
95327,58432,4511,46
97389,58461,2062,29
98737,58482,1348,21
100318,58495,1581,13
101565,58509,1247,14
105096,58524,3531,15
106690,58529,1594,5
108615,58542,1925,13
110485,58569,1870,27
113010,58599,2525,30
115078,58629,2068,30
117373,58662,2295,33
120818,58721,3445,59
122845,58749,2027,28
125438,58780,2593,31
128465,58813,3027,33
131108,58836,2643,23
133559,58865,2451,29
135992,58907,2433,42
138224,58929,2232,22
141533,58946,3309,17
144518,58984,2985,38
147855,59029,3337,45
151066,59059,3211,30
158434,59113,7368,54
161740,59127,3306,14
165371,59157,3631,30
169379,59197,4008,40
172549,59235,3170,38
183801,59308,11252,73
190434,59366,6633,58
198208,59425,7774,59
203933,59449,5725,24
209661,59507,5728,58
214959,59536,5298,29
222628,59584,7669,48
226912,59602,4284,18
234874,59649,7962,47
238721,59675,3847,26
245552,59721,6831,46
248316,59732,2764,11
251604,59747,3288,15
261805,59786,10201,39
264269,59800,2464,14
274875,59832,10606,32
277811,59846,2936,14
283569,59879,5758,33
288229,59883,4660,4
293698,59900,5469,17
298315,59925,4617,25
302580,59948,4265,23
