Malaysia,Singapore,New Case in My,New Case in Sg
203,200,203,200
238,212,35,12
428,226,190,14
553,243,125,17
673,266,120,23
790,313,117,47
900,345,110,32
1030,385,130,40
1183,432,153,47
1306,455,123,23
1518,509,212,54
1624,558,106,49
1796,631,172,73
2031,683,235,52
2161,732,130,49
2320,802,159,70
2470,844,150,42
2626,879,156,35
2766,926,140,47
2908,1000,142,74
3116,1049,208,49
3333,1114,217,65
3483,1189,150,75
3662,1309,179,120
3793,1375,131,66
3963,1481,170,106
4119,1623,156,142
4228,1910,109,287
4346,2108,118,198
4530,2299,184,191
4683,2532,153,233
4817,2918,134,386
4987,3252,170,334
5072,3699,85,447
5182,4427,110,728
5251,5050,69,623
5305,5992,54,942
5389,6588,84,596
5425,8014,36,1426
5482,9125,57,1111
5532,10141,50,1016
5603,11178,71,1037
5691,12075,88,897
5742,12693,51,618
5780,13624,38,931
5820,14423,40,799
5851,14951,31,528
5945,15641,94,690
6002,16169,57,528
6071,17101,69,932
6176,17548,105,447
6298,18205,122,657
6353,18778,55,573
6383,19410,30,632
6428,20198,45,788
6467,20939,39,741
6535,21707,68,768
6589,22460,54,753
6656,23336,67,876
6726,23822,70,486
6742,24671,16,849
6779,25346,37,675
6819,26098,40,752
6855,26891,36,793
6872,27356,17,465
6894,28038,22,682
6941,28343,47,305
6978,28794,37,451
7009,29364,31,570
7059,29812,50,448
7137,30426,78,614
7185,31068,48,642
7245,31616,60,548
7417,31960,172,344
7604,32343,187,383
7619,32876,15,533
7629,33249,10,373
7732,33860,103,611
7762,34366,30,506
7819,34884,57,518
7857,35292,38,408
7877,35836,20,544
7970,36405,93,569
8247,36922,277,517
8266,37183,19,261
8322,37527,56,344
8329,38296,7,769
8336,38514,7,218
8338,38965,2,451
8369,39387,31,422
8402,39850,33,463
8445,40197,43,347
8453,40604,8,407
8494,40818,41,214
8505,40969,11,151
8515,41216,10,247
8529,41473,14,257
8535,41615,6,142
8556,41833,21,218
8572,42095,16,262
8587,42313,15,218
8590,42432,3,119
8596,42623,6,191
8600,42736,4,113
